,local,magnitude
matriz_diagonal_Z_real_harmonico_1.csv,['800.1'],26452.13157696311
matriz_diagonal_Z_real_harmonico_11.csv,['800.1'],28863.745313486666
matriz_diagonal_Z_real_harmonico_13.csv,['800.1'],28739.552552673267
matriz_diagonal_Z_real_harmonico_15.csv,['800.1'],28647.44617154789
matriz_diagonal_Z_real_harmonico_17.csv,['800.1'],28553.282595424287
matriz_diagonal_Z_real_harmonico_19.csv,['800.1'],28431.666191947254
matriz_diagonal_Z_real_harmonico_21.csv,['800.1'],28248.650450599667
matriz_diagonal_Z_real_harmonico_23.csv,['800.1'],27950.70630491725
matriz_diagonal_Z_real_harmonico_25.csv,['800.1'],27488.340292115943
matriz_diagonal_Z_real_harmonico_3.csv,['800.1'],30608.506399861202
matriz_diagonal_Z_real_harmonico_5.csv,['800.1'],33416.58737758835
matriz_diagonal_Z_real_harmonico_7.csv,['800.1'],29953.575216957594
matriz_diagonal_Z_real_harmonico_9.csv,['800.1'],29113.53924215781
